# Duplication baseline for hand-written code under src/ (layer 3 of #251).
# Generated by scripts/Duplication.cs. Do not edit by hand.
# Refresh: UPDATE_GOLDEN_FILES=true dotnet run scripts/Duplication.cs
# K: cluster — duplicated token span x copies — ordinal-sorted method ids.
# Method ids are RELATIVE-PATH:Type.Method. No line numbers: a refactor that
# moves code without changing overlap must not trip this gate.
# Emitted/generated code is out of scope by design (docs/23-DUPLICATION.md).
# totals: clusters=93 duplicated-tokens=12034
K | span=180 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadArrayAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadAsync
K | span=142 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitPropertyAssignments | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitPropertyAssignmentsIndexed
K | span=138 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadArrayAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadStreamAsync
K | span=138 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadStreamAsync
K | span=119 copies=2 | src/Parquet.SourceGenerator/Emitter/ArrowBridgeEmitter.cs:ArrowBridgeEmitter.EmitSource | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitSource
K | span=108 copies=2 | src/Parquet.SourceGenerator.Legacy/ParquetLegacyIncrementalGenerator.cs:ParquetLegacyIncrementalGenerator.Initialize | src/Parquet.SourceGenerator/ParquetIncrementalGenerator.cs:ParquetIncrementalGenerator.Initialize
K | span=108 copies=2 | src/Parquet.SourceGenerator/Emitter/ReadBuilderComponent.cs:ReadBuilderComponent.EmitMemorySource | src/Parquet.SourceGenerator/Emitter/ReadBuilderComponent.cs:ReadBuilderComponent.EmitParallelSource
K | span=103 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitPropertyAssignments | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitUnboundPropertyAssignments
K | span=103 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadPrunedRangeAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadStreamAsync
K | span=97 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertDateTimeToEpochMicroseconds | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertDateTimeToEpochMilliseconds
K | span=97 copies=2 | src/Parquet.SourceGenerator.Legacy/Emitter/LegacyCodeEmitter.cs:LegacyCodeEmitter.EmitSource | src/Parquet.SourceGenerator/Emitter/ArrowBridgeEmitter.cs:ArrowBridgeEmitter.EmitSource
K | span=97 copies=2 | src/Parquet.SourceGenerator.Legacy/Emitter/LegacyCodeEmitter.cs:LegacyCodeEmitter.EmitSource | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitSource
K | span=94 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadArrayAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadParallelAsync
K | span=88 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertEpochMicrosecondsToDateTime | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertEpochMillisecondsToDateTime
K | span=88 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadParallelAsync
K | span=87 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitWriteAsyncEnumerable | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitWriteBatchedAsync
K | span=82 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadArrayAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadBufferSequentialArrayAsync
K | span=81 copies=2 | src/Parquet.SourceGenerator/Emitter/ArrowBridgeEmitter.cs:ArrowBridgeEmitter.EmitBinary | src/Parquet.SourceGenerator/Emitter/ArrowBridgeEmitter.cs:ArrowBridgeEmitter.EmitUtf8
K | span=81 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadParallelAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadStreamAsync
K | span=76 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadArrayAsync | src/Parquet.SourceGenerator/Emitter/ColumnBatchComponent.cs:ColumnBatchComponent.EmitReadBatchesAsync
K | span=76 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadAsync | src/Parquet.SourceGenerator/Emitter/ColumnBatchComponent.cs:ColumnBatchComponent.EmitReadBatchesAsync
K | span=76 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadStreamAsync | src/Parquet.SourceGenerator/Emitter/ColumnBatchComponent.cs:ColumnBatchComponent.EmitReadBatchesAsync
K | span=74 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitPropertyAssignmentsIndexed | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitUnboundPropertyAssignments
K | span=74 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitWriteAsync | src/Parquet.SourceGenerator/Emitter/Columnar/ColumnarBatchComponent.cs:ColumnarBatchComponent.EmitBatchStreamWriter
K | span=72 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertTicksToEpochMicroseconds | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertTicksToEpochMilliseconds
K | span=71 copies=2 | src/Parquet.SourceGenerator/Emitter/Components/BufferPoolComponent.cs:BufferPoolComponent.EmitWriteRentals | src/Parquet.SourceGenerator/Emitter/Compound/CompoundBuffers.cs:CompoundBuffers.EmitWriteRentals
K | span=70 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertEpochMicrosecondsToTicks | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertEpochMillisecondsToTicks
K | span=69 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadArrayAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadPrunedRangeAsync
K | span=69 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadPrunedRangeAsync
K | span=67 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.Widen | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.Widen
K | span=67 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadParallelAsync | src/Parquet.SourceGenerator/Emitter/ColumnBatchComponent.cs:ColumnBatchComponent.EmitReadBatchesAsync
K | span=67 copies=2 | src/Parquet.SourceGenerator/Emitter/Components/SchemaComponent.cs:SchemaComponent.EmitSchema | src/Parquet.SourceGenerator/Emitter/Compound/CompoundSchema.cs:CompoundSchema.EmitSchema
K | span=63 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.MultiplyScale | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.MultiplyScale
K | span=63 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadParallelAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadPrunedRangeAsync
K | span=62 copies=2 | src/Parquet.SourceGenerator.Attributes/NullableColumnExtractor.cs:NullableColumnExtractor.ExtractBranchless`1 | src/Parquet.SourceGenerator.Attributes/NullableColumnExtractor.cs:NullableColumnExtractor.ExtractTwoPass`1
K | span=61 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadPrunedRangeAsync | src/Parquet.SourceGenerator/Emitter/ColumnBatchComponent.cs:ColumnBatchComponent.EmitReadBatchesAsync
K | span=60 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertEpochMicrosecondsToTicks | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.Widen
K | span=60 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertEpochMillisecondsToTicks | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.Widen
K | span=60 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.Narrow | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.Widen
K | span=60 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadParallelAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadParallelBufferAsync
K | span=59 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadPrunedRangeAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadRowGroupsIntoAsync
K | span=59 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadRowGroupsIntoAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadStreamAsync
K | span=58 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.MultiplyScale | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.Widen
K | span=58 copies=2 | src/Parquet.SourceGenerator/Emitter/Components/BufferPoolComponent.cs:BufferPoolComponent.EmitWriteReturns | src/Parquet.SourceGenerator/Emitter/Compound/CompoundBuffers.cs:CompoundBuffers.EmitWriteReturns
K | span=57 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitWriteAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitWriteAsyncEnumerable
K | span=57 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitWriteAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitWriteBatchedAsync
K | span=55 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertEpochMicrosecondsToTicks | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.Narrow
K | span=55 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.ConvertEpochMillisecondsToTicks | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.Narrow
K | span=55 copies=2 | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.Narrow | src/Parquet.SourceGenerator.Attributes/VectorizedColumnTransforms.cs:VectorizedColumnTransforms.Narrow
K | span=55 copies=2 | src/Parquet.SourceGenerator.Legacy/Emitter/LegacyCodeEmitter.cs:LegacyCodeEmitter.EmitWriteAsync | src/Parquet.SourceGenerator.Legacy/Emitter/LegacyCodeEmitter.cs:LegacyCodeEmitter.EmitWriteBatchedAsync
K | span=55 copies=2 | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadBufferSequentialArrayAsync | src/Parquet.SourceGenerator/Emitter/CodeEmitter.cs:CodeEmitter.EmitReadParallelAsync
